改善二居 双阳卧室 南北通透 中间楼层 采光无遮挡|220|85|紫瑞园|2室1厅
柴楼金园 精装修 采光良好 可看房|126|67|柴楼金园|1室1厅
翠金园小区 一室带阁楼 采光充足 交通便利|170|78|翠金园|1室1厅
双街新家园 南北通透H户型 出行方便 配套成熟|192|94|双街新家园|2室1厅
绿岛家园 精装修 位置好 户型好 价格好 诚心卖 可看房|225|97|绿岛家园|2室2厅
旭日里小区 交通便利小区环境干净舒适适合居住|96|41|旭日里|1室1厅
双街新家园 通透一居 格局好 采光充足 居住舒适|145|69|双街新家园|1室1厅
翠金园 电梯洋房 次顶楼 采光好 看房随时|299|118|翠金园|2室2厅
国耀上河城 2室2厅 交通便利 小区干净舒适房主自荐|174|92|国耀上河城|2室2厅
宝翠花都焕景园1楼带小院小区位置好采光良好户型方正|500|149|宝翠花都焕景园|3室2厅
佳荣里 三楼 两室一厅 有装修 干净舒适 适合居住|225|98|佳荣里|2室1厅
聚龙园 2室1厅 交通便利 环境优美 低楼层 户型格局|178|94|聚龙园|2室1厅
金鹏里小区 交通便利 小区环境干净舒适适合居住|270|103|金鹏里|3室1厅
珑著 精装修 楼层好 采光充足|210|79|珑著|1室1厅
采光充足，交通便利，环境优美。|210|97|双街新家园|3室1厅
碧龙园 满五唯一 低楼层 带装修|112|51|碧龙园|1室1厅
税费低，商品房小区环境好，交通便利，楼层采光好|275|100|宝翠花都瞰景园|2室2厅
宝翠花都听景园 H户型  采光充足 看房方便|205|79|宝翠花都听景园|2室1厅
城际美景 2室1厅 南北通透小区环境干净舒适 适合居住新上|160|90|城际美景家园|2室1厅
聚龙园 简单装修 位置好 南北通透|180|94|聚龙园|2室1厅
宝翠花都瞰景园，精装修边户两室，近入口出行方便房主自荐|230|90|宝翠花都瞰景园|2室1厅
双街新城 交通便利 小区环境干净舒适 适合居住|210|106|双街新城|3室1厅
都市桃源  过5无2 南北通透两室 带阳光房 看房方便|180|86|都市桃源|2室1厅
此房位置好，采光充足，无遮挡，婚房选着|180|69|宝翠花都瞰景园|1室1厅
方舟温泉花园小区 交通便利 小区环境干净舒适适合居住|160|87|方舟温泉花园|2室1厅
双街新家园 精装两室  中间楼层|190|107|双街新家园|2室1厅
紫瑞园 舒适二居 南北通透 一楼 采光无遮挡 客厅宽敞|230|84|紫瑞园|2室1厅
淮兴园 南北通透 采光充足 视野宽阔|189|88|淮兴园|2室1厅
宝利新苑小区交通方便 精装修  环境优雅|175|85|宝利新苑|2室1厅
东升里 一居室 看房方便 诚意出售|95|39|东升里|1室1厅
万隆桃香园 交通便利 小区环境干净舒适适合居住|180|79|万隆桃香园|2室1厅
新家园小区 通透一室 小区环境干净舒适  适合居住|142|68|双街新家园|1室1厅
双街新家园 精装修 南北通透 采光好 环境好|290|137|双街新家园|3室2厅
紫瑞园 视野开阔  采光良好 交通便利|180|77|紫瑞园|2室1厅
北辰双街城际美景 全阳大一室可改两室，居住方便舒适|110|68|城际美景家园|1室1厅
城际美景 精装修 交通方便 采光好 生活便利|140|92|城际美景家园|2室1厅
城际美景 精装修 南北通透 中间层 满五唯一|105|51|城际美景家园|1室1厅
普兴里 交通便利 南北通透 采光充足|137|62|普兴里|2室1厅
紫瑞园  采光良好 出行方便 户型方正 配套完善|160|66|紫瑞园|2室1厅
熙景园 南北通透 采光良好 交通便利|265|96|熙景园|2室1厅
人民家园 中楼层中独 全阳面 过五年无二套 简单装修|135|50|人民家园|1室1厅
国耀上河城 小区环境好 交通便利 出行方便房主自荐|178|87|国耀上河城|2室1厅
泽天下 H户型两室 华辰学片房 低楼层|288|91|泽天下|2室1厅
东升里方正户型  南北通透 交通便利适合居住新上|240|116|东升里|2室2厅
绿岛家园 此房交通便利，视野开阔，经典3室户型新上|290|137|绿岛家园|3室2厅
此房南北通透，采光好，中间楼层，精装修|247|96|宝翠花都瞰景园|2室2厅
双街新家园  一室一厅  交通便利  小区环境干净舒适|155|72|双街新家园|1室1厅
宝利新苑 通透两室 漂亮楼层 无遮挡 后期少 诚心出售|185|77|宝利新苑|2室1厅
天籁湾 4室2厅 200万|200|165|天籁湾|4室2厅
天籁湾 4室2厅 210万|210|165|天籁湾|4室2厅
御龙园 精装1越2 赠送小院 5室户型小区24小时安保系统|440|5|龙顺御墅|叠拼别墅
长灜里小区 2室1厅 交通便利 适合居住|280|89|长瀛里|2室1厅
艺术家园临地铁的精装通透三室 诚心出售看房方便|230|100|艺术家园|3室1厅
旭日里 两室通透 中间楼层 简装 随时可看 诚心卖|138|61|旭日里|2室1厅
绿岛家园 中间楼层 南北通透 适宜居住房主自荐|260|107|绿岛家园|2室1厅
柴楼隆园 通透H 小区环境位置好|178|89|柴楼隆园|2室1厅
辽河园三室一厅交通便利 小区环境干净舒适 适合居住|190|93|辽河园|3室1厅
宝翠花都探景园 3室1厅 250万|250|98|宝翠花都探景园|3室1厅
普祥里 一室一厅  一楼 适宜老人居住 出行方便|145|49|普祥里|1室1厅
聚龙园 交通便利 小区环境干净舒适 适合居住|148|77|聚龙园|2室1厅
普天东里 两室一厅 交通便利 小区环境干净 适合居住|185|79|普天东里|2室1厅
荔红花园  南北通透 过五唯一 低楼层，采光充足房主自荐|168|77|荔红花园|2室1厅
宸欣家园 中高楼层 通透两室 采光无遮挡新上|178|82|宸欣家园|2室1厅
玉兰苑南北通透采光良好三室两厅一厨两卫精装修房主自荐|320|121|奥林匹克花园玉兰苑|3室2厅
欧铂苑 采光充足 视野开阔 居住舒适房主自荐|155|89|欧铂城|2室1厅
丹凤里 交通便利 小区环境干净舒适 适合居住|120|47|丹凤里|1室1厅
房子满两年，税费低，户型方正，带阁楼。|168|79|瑞宁嘉园|2室1厅
瑞益园小区2室1厅 交通便利 环境干净舒适 诚心出售|190|84|瑞益园|2室1厅
金鹏里 经典二楼 户型格局方正 小区环境优美|320|113|金鹏里|3室2厅
安达里 自住装修不错 温馨小两室 合适刚需购房的朋友新上|115|52|安达里|2室1厅
金宜里 三室 过五年 南北通透 交通便利新上|230|93|金宜里|3室1厅
此房户型方正，南北通透，小区环境优美，适合居住新上|330|90|泽天下|2室1厅
引河北里小区 交通便利 小区环境干净舒适适合居住新上房主自荐|185|105|引河北里|2室1厅
万隆桃香园  视野宽阔 采光充足 配套齐全新上|108|48|万隆桃香园|1室1厅
东升里 两居室 位置好 总价低 看房方便|128|63|东升里|2室1厅
通透大三室，低楼层三楼，房主诚意出售。房主自荐|177|94|仕名公寓|3室1厅
全阳格局 精心装修 交通便利 设施齐全|182|86|荔丰花园|2室1厅
万隆桃香园 六跃七 采光充足 紧邻京津公路|175|115|万隆桃香园|2室2厅
探景园采光良好出行方便户型方正配套完善|246|98|宝翠花都探景园|3室1厅
绿泊庭苑 精装修 前后带院 环境好 位置佳|710|5|绿泊庭苑|联排别墅
城际美景家园  精装修 南北通透 采光好 环境好|142|86|城际美景家园|2室1厅
宸欣家园 南北通透 采光充足 中间楼层房主自荐|218|95|宸欣家园|3室1厅
听景园2室2厅 交通便利 小区环境干净舒适 适合居住|260|95|宝翠花都听景园|2室2厅
万源星城  南北通透  采光充足  交通便利|185|99|万源星城|2室1厅
紫瑞园 出行方便 南北通透 户型方正 配套成熟|215|84|紫瑞园|2室1厅
泰来东里  52.6平 2室 房主诚心出售|109|52|泰来东里|2室1厅
瑞益园 户型通透 采光充足 方便出行|205|87|瑞益园|2室1厅
南北通透，格局好，采光好，小区环境好，生活便利|560|5|绮景家园|联排别墅
国耀上河城 3室1厅 交通便利 环境干净舒适 适合居住|258|119|国耀上河城|3室1厅
